przedsiębiorca;426;293;133;576904;1354.23
nauczyciel;406;161;245;525564;1294.49
ekonomista;311;167;144;511135;1643.52
rolnik;152;106;46;172945;1137.80
prawnik;131;73;58;342627;2615.47
pracownik biurowy;117;39;78;60985;521.24
politolog;114;75;39;277256;2432.07
emeryt;85;57;28;46066;541.95
wyższy urzędnik samorządowy;80;42;38;190082;2376.03
nauczyciel akademicki;68;47;21;155120;2281.18
pedagog;67;19;48;99277;1481.75
informatyk;57;52;5;86749;1521.91
lekarz;56;38;18;113703;2030.41
urzędnik samorządowy;56;30;26;108861;1943.95
student;55;43;12;40883;743.33
pielęgniarka;52;0;52;42250;812.50
pracownik samorządowy;48;27;21;87402;1820.88
radca prawny;48;31;17;102125;2127.60
księgowa;46;0;46;52031;1131.11
urzędnik;43;26;17;61004;1418.70
socjolog;42;16;26;100926;2403.00
przedstawiciel władzy samorządowej;41;32;9;138302;3373.22
dziennikarz;41;21;20;92598;2258.49
adwokat;37;26;11;106481;2877.86
sprzedawca;36;6;30;15946;442.94
psycholog;35;7;28;46630;1332.29
historyk;34;28;6;95731;2815.62
nauczycielka;33;0;33;47653;1444.03
prezes;32;24;8;44706;1397.06
technik ekonomista;31;6;25;15981;515.52
ekonomistka;30;0;30;91207;3040.23
handlowiec;29;19;10;16760;577.93
specjalista administracji publicznej;29;7;22;29034;1001.17
inżynier mechanik;28;26;2;40590;1449.64
menedżer;27;19;8;65991;2444.11
emerytka;27;0;27;13551;501.89
przedstawiciel handlowy;27;15;12;17291;640.41
inżynier budownictwa;25;23;2;40036;1601.44
fizjoterapeuta;24;7;17;16969;707.04
samorządowiec;24;16;8;63193;2633.04
nauczyciel przedmiotu w szkole ponadpodstawowej;24;13;11;27800;1158.33
pracownik socjalny;23;3;20;14455;628.48
administratywista;23;12;11;27666;1202.87
architekt;23;8;15;31478;1368.61
kierowca;23;22;1;7291;317.00
inżynier elektryk;23;23;0;18099;786.91
parlamentarzysta;22;15;7;183238;8329.00
lekarz medycyny;21;15;6;83309;3967.10
manager;21;16;5;21967;1046.05
inżynier rolnictwa;20;13;7;35869;1793.45
kierownik projektu;20;13;7;41437;2071.85
dyrektor szkoły;20;8;12;49959;2497.95
urzędnik państwowy;20;12;8;58970;2948.50
technik mechanik;18;18;0;9008;500.44
programista aplikacji;17;17;0;10933;643.12
programista;16;12;4;18972;1185.75
nauczyciel przedmiotu w szkole podstawowej;16;8;8;18279;1142.44
technik informatyk;16;14;2;11515;719.69
geodeta;15;12;3;31377;2091.80
lekarz weterynarii;14;7;7;21453;1532.36
księgowy;14;8;6;9365;668.93
studentka;14;0;14;13372;955.14
nauczyciel akademicki - nauki humanistyczne;14;5;9;38033;2716.64
zarządca nieruchomości;14;5;9;12265;876.07
pracownik administracyjny;13;4;9;7448;572.92
magazynier;13;8;5;3049;234.54
kierownik biura;13;6;7;13616;1047.38
agent ubezpieczeniowy;13;7;6;6678;513.69
dyrektor generalny;13;10;3;27400;2107.69
elektryk;12;10;2;3996;333.00
dyrektor handlowy;11;7;4;18737;1703.36
chemik;11;5;6;14081;1280.09
doradca klienta;11;5;6;9611;873.73
logistyk;11;7;4;14375;1306.82
leśnik;11;10;1;21393;1944.82
nauczyciel akademicki - nauki społeczne;11;7;4;14874;1352.18
nauczyciel edukacji wczesnoszkolnej;11;0;11;7600;690.91
ogrodnik;11;7;4;7284;662.18
technik elektryk;11;11;0;4851;441.00
specjalista do spraw sprzedaży;10;5;5;9110;911.00
kucharz;10;3;7;3680;368.00
kosmetolog;10;0;10;4223;422.30
menadżer;10;9;1;27176;2717.60
inżynier inżynierii środowiska;10;7;3;9405;940.50
fizyk;10;7;3;11363;1136.30
grafik komputerowy;10;4;6;10338;1033.80
fotograf;9;6;3;8904;989.33
elektronik;9;9;0;3432;381.33
menedżer produktu;9;6;3;5165;573.89
krawcowa;9;0;9;2725;302.78
technik handlowiec;9;5;4;3192;354.67
technik ogrodnik;9;5;4;3350;372.22
technik budowlany;9;6;3;2714;301.56
