parlamentarzysta;71;58;13;1846477;26006.72
prawnik;37;25;12;1333154;36031.19
ekonomista;37;25;12;921059;24893.49
politolog;27;20;7;877050;32483.33
poseł na Sejm RP;18;13;5;442937;24607.61
przedsiębiorca;16;10;6;364546;22784.13
nauczyciel akademicki;16;15;1;530177;33136.06
nauczyciel;14;10;4;318128;22723.43
adwokat;13;12;1;484287;37252.85
historyk;13;13;0;942152;72473.23
socjolog;9;3;6;254304;28256.00
radca prawny;9;7;2;221360;24595.56
wyższy urzędnik państwowy;8;6;2;190974;23871.75
lekarz;8;6;2;333685;41710.63
dziennikarz;7;5;2;212090;30298.57
przedstawiciel władzy samorządowej;7;6;1;165172;23596.00
rolnik;6;5;1;174633;29105.50
pedagog;6;0;6;178332;29722.00
polityk;5;5;0;271111;54222.20
poseł;3;2;1;113664;37888.00
urzędnik państwowy;3;3;0;159144;53048.00
ekonomistka;3;0;3;73356;24452.00
menadżer;3;3;0;69060;23020.00
menedżer;2;1;1;27435;13717.50
inżynier rolnictwa;2;2;0;36812;18406.00
inżynier mechanik;2;2;0;44869;22434.50
lekarz medycyny;2;1;1;25745;12872.50
archeolog;2;2;0;40484;20242.00
inżynier budownictwa;2;0;2;30995;15497.50
inżynier elektryk;2;2;0;41245;20622.50
urzędnik samorządowy;2;2;0;16239;8119.50
prywatny przedsiębiorca;2;2;0;21004;10502.00
wykładowca akademicki;2;2;0;155092;77546.00
wyższy urzędnik samorządowy;2;2;0;23123;11561.50
matematyk;2;1;1;28600;14300.00
parlamentarzystka;2;0;2;48979;24489.50
poseł RP;2;2;0;56800;28400.00
posłanka na Sejm RP;1;0;1;49436;49436.00
pracownik samorządowy;1;0;1;8572;8572.00
prawniczka;1;0;1;38426;38426.00
pielęgniarka;1;0;1;15324;15324.00
planista przestrzenny;1;0;1;12214;12214.00
prawnik legislator;1;1;0;9066;9066.00
programista;1;1;0;64435;64435.00
poseł na Sejm;1;1;0;28781;28781.00
rolnik-ogrodnik;1;1;0;17857;17857.00
samorządowiec;1;1;0;12315;12315.00
senator;1;1;0;89840;89840.00
senator RP;1;1;0;12032;12032.00
przedstawiciel władzy samorządowej (marszałek);1;0;1;78475;78475.00
przedsiębiorczyni;1;0;1;49428;49428.00
specjalista administracji publicznej;1;0;1;10710;10710.00
specjalista do spraw organizacji usług turystycznych;1;0;1;11049;11049.00
specjalista do spraw stosunków międzynarodowych;1;1;0;45167;45167.00
specjalista ds. marketingu;1;1;0;13663;13663.00
specjalista polityki społecznej;1;0;1;19388;19388.00
specjalista zdrowia publicznego;1;0;1;13217;13217.00
technolog żywności;1;1;0;9108;9108.00
trener;1;1;0;20748;20748.00
trener sportu;1;0;1;35573;35573.00
zawodnik dyscypliny sportu;1;1;0;15494;15494.00
wyższy urzędnik państwowy - wojewoda;1;1;0;26062;26062.00
wójt;1;1;0;11366;11366.00
reżyser;1;1;0;26895;26895.00
inżynier informatyk;1;1;0;19616;19616.00
inżynier inżynierii środowiska;1;1;0;18574;18574.00
inżynier leśnictwa;1;0;1;15253;15253.00
inżynier budownictwa - budownictwo ogólne;1;1;0;11267;11267.00
administratywista;1;1;0;11554;11554.00
informatyczka;1;0;1;139524;139524.00
inspektor ochrony danych;1;0;1;14141;14141.00
inzynier mechanik;1;1;0;8722;8722.00
inżynier;1;1;0;23434;23434.00
adwokatka;1;0;1;57609;57609.00
aktor;1;0;1;9172;9172.00
aktorka;1;0;1;9582;9582.00
analityk finansowy;1;0;1;27031;27031.00
animator kultury;1;1;0;8263;8263.00
architekt;1;1;0;10108;10108.00
archiwista;1;0;1;13511;13511.00
doradca podatkowy;1;0;1;20091;20091.00
dyrektor ds. rozwoju biznesu;1;1;0;10907;10907.00
dyrektor marketingu;1;0;1;26185;26185.00
dyrektor szkoły;1;0;1;9170;9170.00
działaczka organizacji pozarządowej;1;0;1;10510;10510.00
działaczka społeczna;1;0;1;10557;10557.00
ekonomistka, wykładowczyni akademicka;1;0;1;32563;32563.00
emeryt;1;1;0;16120;16120.00
energetyk;1;1;0;12690;12690.00
etnograf;1;0;1;70732;70732.00
filolog;1;1;0;11463;11463.00
filolog klasyczny;1;0;1;16882;16882.00
filozofka;1;0;1;24485;24485.00
geograf;1;1;0;9088;9088.00
"główny specjalista kontroli państwowej NIK; audytor";1;1;0;5121;5121.00
grafik;1;1;0;14387;14387.00
lekarz psychiatra;1;1;0;13630;13630.00
lekarz weterynarii;1;0;1;28783;28783.00
logik;1;1;0;50724;50724.00
magister farmacji;1;1;0;27361;27361.00
manager;1;0;1;9261;9261.00
maszynistka biurowa;1;0;1;8460;8460.00
inżynier mechanik - środki transportu;1;1;0;44422;44422.00
inżynier mechanik technologia mechaniczna;1;1;0;25363;25363.00
inżynier metalurg;1;1;0;8363;8363.00
inżynier ogrodnictwa;1;0;1;15273;15273.00
inżynier ogrodnik;1;1;0;21309;21309.00
kierowniczka domu kultury;1;0;1;39054;39054.00
kierownik do spraw marketingu;1;0;1;16470;16470.00
kierownik działu finansowego;1;0;1;17695;17695.00
kierownik placówki bankowej;1;0;1;14901;14901.00
kierownik podmiotu leczniczego;1;1;0;5934;5934.00
kierownik w gospodarce leśnej;1;1;0;14974;14974.00
kontroler finansowy;1;1;0;14043;14043.00
kulturoznawca;1;1;0;85099;85099.00
mgr inż. budownictwa lądowego;1;1;0;17470;17470.00
mgr inż. rolnik;1;1;0;12695;12695.00
mgr inż. transportu;1;1;0;36031;36031.00
muzyk;1;1;0;43292;43292.00
menadżer ochrony zdrowia;1;0;1;15847;15847.00
menager ochrony zdrowia;1;0;1;26231;26231.00
lekarz - specjalista położnictwa i ginekologii;1;1;0;8176;8176.00
lekarz dentysta;1;1;0;14353;14353.00
nauczyciel akademicki - nauki humanistyczne;1;1;0;21831;21831.00
nauczyciel akademicki - nauki społeczne;1;1;0;33222;33222.00
nauczyciel historii;1;1;0;25663;25663.00
nauczyciel przedmiotu w szkole ponadpodstawowej;1;1;0;16287;16287.00
nauczycielka;1;0;1;17577;17577.00
nauczycielka akademicka;1;0;1;23051;23051.00
notariusz;1;1;0;24918;24918.00
