przedsiębiorca;27;24;3;935837;34660.63
ekonomista;22;19;3;880290;40013.18
nauczyciel;16;9;7;586481;36655.06
lekarz;10;8;2;359764;35976.40
nauczyciel akademicki;7;7;0;197984;28283.43
rolnik;7;7;0;260464;37209.14
adwokat;6;5;1;309530;51588.33
pedagog;5;4;1;147590;29518.00
politolog;5;5;0;119021;23804.20
lekarz medycyny;5;4;1;211072;42214.40
menadżer;5;4;1;407415;81483.00
prawnik;5;4;1;167273;33454.60
pracownik administracji rządowej;4;3;1;294877;73719.25
urzędnik samorządowy;3;3;0;226671;75557.00
samorządowiec;3;2;1;97592;32530.67
przedstawiciel władzy samorządowej;3;2;1;240968;80322.67
psycholog;3;2;1;181845;60615.00
pracownik samorządowy;3;3;0;85382;28460.67
dziennikarz;3;3;0;127724;42574.67
parlamentarzysta;3;3;0;181904;60634.67
chemik;3;3;0;144212;48070.67
architekt;2;2;0;17509;8754.50
emeryt;2;1;1;21994;10997.00
handlowiec;2;2;0;19943;9971.50
historyk;2;2;0;77387;38693.50
informatyk;2;2;0;97308;48654.00
inżynier elektronik;2;1;1;88596;44298.00
manager;2;2;0;113146;56573.00
urzędnik;2;0;2;70652;35326.00
radca prawny;2;2;0;44536;22268.00
pracownik biurowy;2;1;1;47858;23929.00
pracownik naukowy;1;1;0;7580;7580.00
pracownik administracyjny;1;0;1;51003;51003.00
prezes;1;0;1;42140;42140.00
przedsiębiorca budowlany;1;1;0;28293;28293.00
przedstawiciel handlowy;1;1;0;17104;17104.00
wójt;1;1;0;55593;55593.00
wykładowca języka angielskiego;1;0;1;73467;73467.00
wyższy urzędnik państwowy;1;1;0;75642;75642.00
wyższy urzędnik samorządowy;1;1;0;34945;34945.00
zarządca nieruchomości;1;1;0;44543;44543.00
zawodowy działacz organizacji związkowych;1;0;1;52224;52224.00
zootechnik;1;1;0;76293;76293.00
senator RP;1;0;1;66617;66617.00
socjolog;1;1;0;18622;18622.00
specjalista do spraw księgowości;1;0;1;29777;29777.00
specjalista do spraw obsługi posprzedażowej;1;1;0;20172;20172.00
specjalista do spraw zarządzania;1;0;1;77209;77209.00
specjalista ds. stosunków międzynarodowych;1;1;0;63449;63449.00
specjalista ochrony środowiska;1;0;1;46754;46754.00
świecki krzewiciel wiary;1;1;0;9309;9309.00
tech. mechanik;1;1;0;6695;6695.00
