parlamentarzysta;12;11;1;1444986;120415.50
nauczyciel akademicki;8;8;0;1253386;156673.25
ekonomista;7;6;1;716476;102353.71
nauczyciel;5;3;2;458771;91754.20
prawnik;5;4;1;524782;104956.40
polityk;3;3;0;285627;95209.00
inżynier mechanik;3;2;1;298466;99488.67
historyk;2;2;0;284426;142213.00
poseł na Sejm RP;2;2;0;216209;108104.50
pracownik samorządowy;2;2;0;159796;79898.00
politolog;2;2;0;187658;93829.00
menadżer;2;2;0;224932;112466.00
adwokat;2;1;1;193796;96898.00
radca prawny;2;1;1;198788;99394.00
rolnik;2;2;0;237429;118714.50
urzędnik;2;2;0;169539;84769.50
socjolog;2;1;1;285697;142848.50
specjalistka do spraw stosunków międzynarodowych;1;0;1;89216;89216.00
urzędnik samorządowy;1;0;1;94659;94659.00
wyższy urzędnik samorządowy;1;1;0;109935;109935.00
zootechnik;1;1;0;67405;67405.00
żołnierz zawodowy - emerytowany;1;1;0;104047;104047.00
samorządowiec;1;1;0;73276;73276.00
senator RP;1;0;1;127604;127604.00
aktor;1;1;0;151792;151792.00
archeolog;1;0;1;84325;84325.00
biolog;1;0;1;98783;98783.00
burmistrz;1;0;1;46935;46935.00
chemik;1;1;0;190681;190681.00
dziennikarz;1;1;0;121080;121080.00
mgr inż. elektryk;1;1;0;87843;87843.00
nauczyciel akademicki - nauki techniczne;1;1;0;89582;89582.00
ogrodnik;1;1;0;98107;98107.00
pedagog;1;1;0;139531;139531.00
producent filmowy;1;0;1;231122;231122.00
przedsiębiorca;1;1;0;191824;191824.00
historyk kultury;1;1;0;255036;255036.00
inż. elektromechanik;1;1;0;55372;55372.00
inżynier;1;1;0;157302;157302.00
inżynier budownictwa;1;1;0;91662;91662.00
inżynier elektryk;1;1;0;88689;88689.00
inżynier geodeta;1;1;0;155496;155496.00
inżynier górnik;1;1;0;81134;81134.00
inżynier hutnik;1;1;0;152526;152526.00
inżynier inżynierii środowiska;1;0;1;171541;171541.00
inżynier technologii drewna;1;1;0;56152;56152.00
kulturoznawca;1;0;1;136168;136168.00
lekarz;1;1;0;184334;184334.00
lekarz - specjalista chirurgii ogólnej;1;1;0;69725;69725.00
lekarz chirurg specjalizacji ogólnej;1;1;0;71115;71115.00
lekarz medycyny;1;0;1;113692;113692.00
lekarz specjalista chirurgii klatki piersiowej i transplantologii;1;1;0;181895;181895.00
lekarz-specjalista neurolog;1;1;0;59980;59980.00
magister rolnictwa;1;1;0;82726;82726.00
