Donald Franciszek TUSK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;31,41;538634
Jarosław Aleksander KACZYŃSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;26,89;177228
Adam Stanisław SZŁAPKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;25,01;149064
Mateusz Jakub MORAWIECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;22,25;117064
Bartosz Adam ARŁUKOWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;20,9;67325
Barbara Anna NOWACKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;20,43;139524
Marlena Magdalena MALĄG;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;20,26;109870
Borys Piotr BUDKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;19,24;101258
Dariusz JOŃSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;19,16;87470
Przemysław CZARNEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;18,77;121686
Izabela Dorota LESZCZYNA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;18,69;60549
Elżbieta Barbara WITEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;17,77;89172
Anna Maria PIECZARKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;17,64;71199
Mariusz BŁASZCZAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;17,46;127578
Krzysztof BREJZA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;16,83;89840
Małgorzata Ewa WASSERMANN;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;16,6;125786
Sławomir Witold NITRAS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;16,37;90720
Kacper Maciej PŁAŻYŃSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;16,3;100445
Jakub Adam RUTNICKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;16,23;67069
Monika WIELICHOWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;16,14;52182
Lidia Ewa BURZYŃSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;15,35;49713
Elżbieta Anna POLAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;15,18;78475
Arkadiusz MULARCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;14,69;62758
Agnieszka Dominika POMASKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;13,56;83590
Krystyna Maria SZUMILAS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;13,13;50871
