KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;918;194;7640854
KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;919;157;6629402
KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;918;65;3110670
KOMITET WYBORCZY NOWA LEWICA;912;26;1859018
KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ;913;18;1547364
KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY;902;0;401054
KOMITET WYBORCZY POLSKA JEST JEDNA;579;0;351099
KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU;155;0;24850
KOMITET WYBORCZY NORMALNY KRAJ;61;0;4606
KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA;24;0;25778
KOMITET WYBORCZY ANTYPARTIA;16;0;1156
KOMITET WYBORCZY RUCH NAPRAWY POLSKI;16;0;823
